"id","name","fileName","fileType","filePath","fileSize","entityType","entityId","documentType","hashValue","version","isActive","isVerified","verifiedById","uploadedById","createdAt","updatedAt"
"0ef2e4c7-152c-474f-ad06-0bc3b80b427b","53fba11c-0e11-41dc-9950-cbaa443f374c.jpg","1775113447200-53fba11c-0e11-41dc-9950-cbaa443f374c.jpg","image/jpeg","transactions/lc/2014c1c6-5016-49ec-a91e-6885587e10e1/1775113447200-53fba11c-0e11-41dc-9950-cbaa443f374c.jpg","126511","LC","2014c1c6-5016-49ec-a91e-6885587e10e1","LC_COPY","0b0b763379757abb687523e2f2ca98643828576ac12711923eba64986801ecfb","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-02 07:04:07.364","2026-04-02 07:04:07.364"
"19e01b71-27b6-47eb-a103-a5faf518f89b","medical_status.pdf","1775075924039-medical_status.pdf","application/pdf","transactions/voucher/4016271a-3061-4874-b058-4aaff606108f/1775075924039-medical_status.pdf","66702","VOUCHER","4016271a-3061-4874-b058-4aaff606108f","GENERAL","49d244d8a3cd8bf550a29fa89ac518324bd4f98d06ea10ef66fd5e7d0a466a1d","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 20:38:44.063","2026-04-01 20:38:44.063"
"217668e9-17f6-4b32-b5d8-db2320b789f9","53fba11c-0e11-41dc-9950-cbaa443f374c.jpg","1775076964861-53fba11c-0e11-41dc-9950-cbaa443f374c.jpg","image/jpeg","transactions/voucher/82d76164-0970-4871-ac71-65cab87f1baa/1775076964861-53fba11c-0e11-41dc-9950-cbaa443f374c.jpg","126511","VOUCHER","82d76164-0970-4871-ac71-65cab87f1baa","GENERAL","0b0b763379757abb687523e2f2ca98643828576ac12711923eba64986801ecfb","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 20:56:05.073","2026-04-01 20:56:05.073"
"4d9d7706-dc1c-4f07-bb52-071d1742438e","pest-control-riverside-ca.png","1775083972058-pest-control-riverside-ca.png","image/png","transactions/voucher/a8da2707-a978-4175-b406-84b2c3ac7eb9/1775083972058-pest-control-riverside-ca.png","227394","VOUCHER","a8da2707-a978-4175-b406-84b2c3ac7eb9","GENERAL","65fbfcbc818c9158514318364f6eadae380e015f1692596b7bca56dc2f80e99f","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 22:52:52.281","2026-04-01 22:52:52.281"
"629e3d88-fa94-4cf2-ba83-98e0e3c9eaca","MathingOfARReceipts-xls_Uncategorized.xlsx","1775103357778-MathingOfARReceipts-xls_Uncategorized.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","transactions/pi/a7a9949b-2dc1-4a75-af41-80befc524fbf/1775103357778-MathingOfARReceipts-xls_Uncategorized.xlsx","5308","PI","a7a9949b-2dc1-4a75-af41-80befc524fbf","INVOICE","42410d76bb0d2a17d1dfd29dfc35c9ce1dcc67f922c0ecbeed9e9acf6e7a374b","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-02 04:15:57.782","2026-04-02 04:15:57.782"
"6d7a9f03-63c4-4ec8-868c-b204511edfe7","IMG_2211.heic","1775078546442-IMG_2211.heic","application/octet-stream","transactions/voucher/98f98cca-e7bc-4278-b547-63e78db06a9d/1775078546442-IMG_2211.heic","139252","VOUCHER","98f98cca-e7bc-4278-b547-63e78db06a9d","GENERAL","7f5ac5b924c862661f996ee8bf365a1800a2ad45444b8d7311146c021abc1688","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 21:22:26.86","2026-04-01 21:22:26.86"
"6fad3248-c77f-4b40-9927-6bf36ccf934d","Master_A.pdf","1775083496624-Master_A.pdf","application/pdf","transactions/voucher/2c1e749d-1987-4ab4-a483-85bc41fd8731/1775083496624-Master_A.pdf","312900","VOUCHER","2c1e749d-1987-4ab4-a483-85bc41fd8731","GENERAL","5e7480a80fb7660a72e3a1560821f2a914c5bb3ccd037c5043f35adcf7897277","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 22:44:56.959","2026-04-01 22:44:56.959"
"736ebea6-30ff-4ad1-b235-15a8a716f223","Brainy Flavors - Business Profile.pdf","1774995814357-Brainy Flavors - Business Profile.pdf","application/pdf","transactions/voucher/83fc2039-f3c6-4c40-ae7e-698dc7fd6189/1774995814357-Brainy Flavors - Business Profile.pdf","1095498","VOUCHER","83fc2039-f3c6-4c40-ae7e-698dc7fd6189","GENERAL","bfc9c6c96d46b3f78fc29ee5d8735227650e6265d82157ee3405c90b677f4f93","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-03-31 22:23:34.89","2026-03-31 22:23:34.89"
"c7416e6a-9f14-4a79-bbc9-4895b3145071","ledger-2026-02-18.pdf","1775073996164-ledger-2026-02-18.pdf","application/pdf","transactions/voucher/e63375aa-717a-4a12-9f79-9375faf0ac94/1775073996164-ledger-2026-02-18.pdf","7916","VOUCHER","e63375aa-717a-4a12-9f79-9375faf0ac94","GENERAL","c506f483bad28b3cfcb9f0ed8d2016a6a6e9a0bca8dea1206b38e8bd74181c1d","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 20:06:36.169","2026-04-01 20:06:36.169"
"d5c2a321-444a-457d-8798-f6c62a7585a9","pest-control-riverside-ca.png","1775076900752-pest-control-riverside-ca.png","image/png","transactions/voucher/ed55b84f-a1c6-426a-8b5f-6208dc967b46/1775076900752-pest-control-riverside-ca.png","227394","VOUCHER","ed55b84f-a1c6-426a-8b5f-6208dc967b46","GENERAL","65fbfcbc818c9158514318364f6eadae380e015f1692596b7bca56dc2f80e99f","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 20:55:01.032","2026-04-01 20:55:01.032"
"ec5b14d1-dec8-4218-ba31-6c8732ade9ab","ledger-2026-02-18.pdf","1775074031154-ledger-2026-02-18.pdf","application/pdf","transactions/voucher/4016271a-3061-4874-b058-4aaff606108f/1775074031154-ledger-2026-02-18.pdf","7916","VOUCHER","4016271a-3061-4874-b058-4aaff606108f","GENERAL","c506f483bad28b3cfcb9f0ed8d2016a6a6e9a0bca8dea1206b38e8bd74181c1d","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 20:07:11.156","2026-04-01 20:07:11.156"
"edf4c43f-c960-4400-b454-cbdd6374da4e","ledger-2026-02-18.pdf","1775085206529-ledger-2026-02-18.pdf","application/pdf","transactions/voucher/cc1d2369-6c1c-4429-abb1-c5961e7498eb/1775085206529-ledger-2026-02-18.pdf","7916","VOUCHER","cc1d2369-6c1c-4429-abb1-c5961e7498eb","GENERAL","c506f483bad28b3cfcb9f0ed8d2016a6a6e9a0bca8dea1206b38e8bd74181c1d","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 23:13:26.532","2026-04-01 23:13:26.532"
"fdbf366b-27c6-4423-9aab-52e6483345e7","Master_A.pdf","1775077152784-Master_A.pdf","application/pdf","transactions/voucher/82d76164-0970-4871-ac71-65cab87f1baa/1775077152784-Master_A.pdf","312900","VOUCHER","82d76164-0970-4871-ac71-65cab87f1baa","GENERAL","5e7480a80fb7660a72e3a1560821f2a914c5bb3ccd037c5043f35adcf7897277","1","true","false",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","2026-04-01 20:59:13.38","2026-04-01 20:59:13.38"
