"id","userId","module","canCreate","canVerify","canApprove","canView"
"02be6a06-263f-4133-98fc-dd6f81f99a07","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","invoices","true","true","true","true"
"04ac6405-8d94-437f-be99-bf2e92b8c31f","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","employee_loans","true","true","true","true"
"17bc8a31-f4e7-45da-ac5e-45ba05184b31","e88ca230-8eba-4fcb-89ae-111af8ce4955","reports","true","false","false","true"
"1a2993d0-ad6f-4f3e-ba66-148217bd16d1","9d3de344-0418-4acd-87dd-959f7a658c8b","purchase_orders","true","true","true","true"
"1c8c6a5e-0eb7-4d67-81a7-a6d323345cfe","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","lc","true","true","true","true"
"219210d7-3b65-484a-aed1-232630199039","9d3de344-0418-4acd-87dd-959f7a658c8b","bills","true","true","true","true"
"246ea82a-db73-4bc0-b075-22faa1d6d2ca","9d3de344-0418-4acd-87dd-959f7a658c8b","pi","true","true","true","true"
"256faf53-7c0e-43ea-8922-f2072556e598","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","accounts","true","true","true","true"
"2e551223-333f-4786-9dde-f234f340ce15","9d3de344-0418-4acd-87dd-959f7a658c8b","employee_advances","true","true","true","true"
"32778fd3-2725-447b-b5c3-7f5dc4a683ca","9d3de344-0418-4acd-87dd-959f7a658c8b","reports","true","true","true","true"
"3b19e3df-07ed-4021-b9e9-bb4c9339d289","e88ca230-8eba-4fcb-89ae-111af8ce4955","customers","true","false","false","true"
"3e502d66-36e2-4d99-98bc-a266f5217d8c","9d3de344-0418-4acd-87dd-959f7a658c8b","invoices","true","true","true","true"
"3fa191c4-d914-4663-b08c-370b0096829f","9d3de344-0418-4acd-87dd-959f7a658c8b","payments","true","true","true","true"
"41d92304-fdca-4281-9c12-213e846543b6","9d3de344-0418-4acd-87dd-959f7a658c8b","lc","true","true","true","true"
"47a6ad83-a16b-400b-8983-0a26a70126d0","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","purchase_orders","true","true","true","true"
"4f45168a-17d1-4f17-a8cd-85cfad07299a","9d3de344-0418-4acd-87dd-959f7a658c8b","employees","true","true","true","true"
"5b12318c-f49b-4609-b4bc-030feac2a247","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","employee_advances","true","true","true","true"
"6b55822f-3c8a-47f1-8a58-e0bd972cfb5a","9d3de344-0418-4acd-87dd-959f7a658c8b","accounts","true","true","true","true"
"6cb12bfb-66c2-4f77-8a37-20b4ffceb489","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","products","true","true","true","true"
"70f5d468-82fa-4566-a9da-944a73a483b4","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","bills","true","true","true","true"
"77be20ee-3b42-4d6f-95e6-2af86b820de5","e88ca230-8eba-4fcb-89ae-111af8ce4955","accounts","true","false","false","true"
"77d1869d-edb2-4695-a05d-631006e8383d","9d3de344-0418-4acd-87dd-959f7a658c8b","vendors","true","true","true","true"
"7ab5c2ee-8b62-4ca6-803f-985e84c1e2b1","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","employee_expenses","true","true","true","true"
"7fb840b8-aee7-4530-85b6-3e2c39969b9e","9d3de344-0418-4acd-87dd-959f7a658c8b","journals","true","true","true","true"
"8540d437-d5cd-441f-9d36-e04f38c657d3","9d3de344-0418-4acd-87dd-959f7a658c8b","employee_loans","true","true","true","true"
"950a82af-9dca-4c81-80ae-88a7d9ddcf5a","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","vendors","true","true","true","true"
"a544373a-249c-4578-b39a-5e6157d5657b","9d3de344-0418-4acd-87dd-959f7a658c8b","attachments","true","true","true","true"
"a7073b88-45e7-427f-9691-fe3ba3adbfa9","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","loans","true","true","true","true"
"a891e798-4b98-4ff1-b92e-de7c6754a917","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","payments","true","true","true","true"
"a94a6356-c18c-476b-9b8c-332f5bdef473","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","reports","true","true","true","true"
"b09455ce-10f1-45d5-960f-6991fd73cdef","9d3de344-0418-4acd-87dd-959f7a658c8b","employee_expenses","true","true","true","true"
