"id","companyId","type","severity","title","message","entityType","entityId","isRead","createdAt"
"01b368ca-64d7-4938-ae5c-10d7496277f0","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Approved: PO-2026-0001","PurchaseOrder PO-2026-0001 has been fully approved.","PurchaseOrder","b0c0675d-7ec7-4f73-a9f8-1fc4550b7139","false","2026-04-01 17:23:50.432"
"04e60cd9-5cfb-49cc-8971-c53b54f35344","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","DANGER","Rejected: JE-2026-0008","JournalEntry JE-2026-0008 was rejected. ","JournalEntry","4016271a-3061-4874-b058-4aaff606108f","false","2026-04-01 20:15:18.333"
"05192053-e25b-4458-86be-f9ff24cf29f0","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Status Updated: PO-2026-0004","PurchaseOrder PO-2026-0004 status changed to SENT.","PurchaseOrder","dc383ea6-92dd-4e2b-99a6-cf1f49b7dae0","true","2026-04-02 06:59:22.612"
"0545026c-afa3-43b2-a573-0a082314cac2","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Verified: INV-2026-0006","Invoice INV-2026-0006 has been verified and is awaiting final approval.","Invoice","4da4831c-72c5-4c6a-8d13-e7be29068909","false","2026-04-06 06:22:55.207"
"1337fdc4-051e-4c5b-b688-7f4707d7a4f6","235280c2-f037-4249-8696-bc38738a190e","PENDING_JOURNAL","WARNING","New Voucher Awaiting Verification","Journal JE-2026-0002 has been created and is awaiting verification.","JournalEntry","1469d2a1-ab96-44b3-9099-fb9769c9d0fb","false","2026-03-31 21:14:53.782"
"161001f1-ff7a-4b0d-87a7-21ee2713f648","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Verified: INV-2026-0001","Invoice INV-2026-0001 has been verified and is awaiting final approval.","Invoice","a3c021da-d3cc-40cc-bdf1-735308914970","false","2026-04-06 06:57:16.855"
"1850f687-d65b-4543-a788-e9e283841abb","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Pending Verification: JE-2026-0012","JournalEntry JE-2026-0012 has been submitted and is awaiting verification.","JournalEntry","98f98cca-e7bc-4278-b547-63e78db06a9d","false","2026-04-01 23:39:30.852"
"191f03bb-9678-4426-9b80-c03c1dde6565","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Verified: JE-2026-0012","JournalEntry JE-2026-0012 has been verified and is awaiting final approval.","JournalEntry","98f98cca-e7bc-4278-b547-63e78db06a9d","false","2026-04-01 23:39:32.712"
"1a501ba8-d509-4183-9e9a-f2babcc96a5b","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Approved: PO-2026-0004","PurchaseOrder PO-2026-0004 has been fully approved.","PurchaseOrder","dc383ea6-92dd-4e2b-99a6-cf1f49b7dae0","true","2026-04-02 06:59:03.267"
"1fcff43c-4771-450e-9c42-ad69869603f1","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","DANGER","Rejected: JE-2026-0011","JournalEntry JE-2026-0011 was rejected. ","JournalEntry","82d76164-0970-4871-ac71-65cab87f1baa","true","2026-04-01 20:57:09.793"
"2cc0eca7-969b-41b7-a654-902017276ab5","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Status Updated: PO-2026-0003","PurchaseOrder PO-2026-0003 status changed to CLOSED.","PurchaseOrder","7a9e1f9a-008d-4f63-b41a-66229114fad6","true","2026-04-02 05:14:02.739"
"32119a25-e73a-46b4-b317-3477fcda3885","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Verified: INV-2026-0008","Invoice INV-2026-0008 has been verified and is awaiting final approval.","Invoice","005c77f8-934b-4221-b863-3bac4e29a2db","false","2026-04-06 06:17:37.536"
"3359d13c-8949-46bb-8aaa-22df6768c5c1","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","DANGER","Rejected: JE-2026-0001","JournalEntry JE-2026-0001 was rejected. ","JournalEntry","3c9b3ffb-7317-4e62-939c-e48569d3cd99","false","2026-03-31 21:04:49.111"
"36fdde61-b119-4166-b2b3-2c524b6fc334","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Approved: JE-2026-0012","JournalEntry JE-2026-0012 has been fully approved.","JournalEntry","98f98cca-e7bc-4278-b547-63e78db06a9d","true","2026-04-01 23:39:33.733"
"3b67f03c-c7ed-45dc-8b1a-0b1ac6f827c8","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Approved: JE-2026-0002","JournalEntry JE-2026-0002 has been fully approved.","JournalEntry","1469d2a1-ab96-44b3-9099-fb9769c9d0fb","false","2026-03-31 21:15:09.779"
"3bb9ba79-4d5c-4275-b88a-5c35cff0662d","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Approved: JE-2026-0010","JournalEntry JE-2026-0010 has been fully approved.","JournalEntry","f303ae68-3c65-4651-b951-5d4f9d879327","false","2026-04-06 06:20:02.237"
"3c870bac-e071-4806-8fe5-8a57072f6724","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Status Updated: PO-2026-0003","PurchaseOrder PO-2026-0003 status changed to RECEIVED.","PurchaseOrder","7a9e1f9a-008d-4f63-b41a-66229114fad6","true","2026-04-02 05:13:56.222"
"3e2ff354-80dc-444f-998c-67c1701654d3","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Status Updated: PO-2026-0004","PurchaseOrder PO-2026-0004 status changed to CLOSED.","PurchaseOrder","dc383ea6-92dd-4e2b-99a6-cf1f49b7dae0","true","2026-04-02 07:00:05.529"
"3fb2ff96-ae9f-4e82-86ca-4752d399c788","235280c2-f037-4249-8696-bc38738a190e","STATUS_CHANGE","INFO","Approved: JE-2026-0014","JournalEntry JE-2026-0014 has been fully approved.","JournalEntry","a8da2707-a978-4175-b406-84b2c3ac7eb9","false","2026-04-01 23:39:28.143"
"458d5b04-26fe-43e0-b8ef-19e87042be0e","4da93909-c2a6-43d8-9eed-8f9dffc01db2","STATUS_CHANGE","INFO","Approved: JE-2026-0007","JournalEntry JE-2026-0007 has been fully approved.","JournalEntry","56aaf7cf-55c1-4c2a-9bbb-ad0388cdb66a","false","2026-04-05 16:41:47.566"
