"id","companyId","entityType","entityId","action","performedById","targetUserId","branchId","metadata","createdAt"
"02cc498b-b103-4b00-ab06-ab2b827484b7","235280c2-f037-4249-8696-bc38738a190e","journal","98f98cca-e7bc-4278-b547-63e78db06a9d","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""docNumber"":""JE-2026-0012""}","2026-04-01 21:22:25.812"
"050ce108-f60f-41a1-93df-3cfe1da7e0ae","235280c2-f037-4249-8696-bc38738a190e","JournalEntry","3c9b3ffb-7317-4e62-939c-e48569d3cd99","STATUS_REACHED_PENDING_VERIFICATION","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""newStatus"":""PENDING_VERIFICATION"",""oldStatus"":""REJECTED"",""entityNumber"":""JE-2026-0001""}","2026-03-31 21:05:03.67"
"0604d4d5-6360-4bb0-b563-b96e580b58e3","235280c2-f037-4249-8696-bc38738a190e","invoice","4da4831c-72c5-4c6a-8d13-e7be29068909","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""type"":""PURCHASE"",""docNumber"":""INV-2026-0006""}","2026-04-01 19:15:54.692"
"0f01910a-30e3-467e-b922-bc67d4b53bba","235280c2-f037-4249-8696-bc38738a190e","JournalEntry","3c9b3ffb-7317-4e62-939c-e48569d3cd99","STATUS_REACHED_APPROVED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""newStatus"":""APPROVED"",""oldStatus"":""VERIFIED"",""entityNumber"":""JE-2026-0001""}","2026-03-31 21:05:07.54"
"0f5198d4-e4d4-42ad-9da4-0e74228749fa","235280c2-f037-4249-8696-bc38738a190e","JournalEntry","e63375aa-717a-4a12-9f79-9375faf0ac94","STATUS_REACHED_DRAFT","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""newStatus"":""DRAFT"",""oldStatus"":""REJECTED"",""entityNumber"":""JE-2026-0007""}","2026-04-01 20:17:23.58"
"127b6200-f949-4666-a4f7-ffc0001e2bf9","235280c2-f037-4249-8696-bc38738a190e","JournalEntry","cc1d2369-6c1c-4429-abb1-c5961e7498eb","STATUS_REACHED_APPROVED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""newStatus"":""APPROVED"",""oldStatus"":""VERIFIED"",""entityNumber"":""JE-2026-0015""}","2026-04-01 23:14:15.643"
"15523793-47e6-4cfc-8d4e-dbb582ac4b09","235280c2-f037-4249-8696-bc38738a190e","journal","ed55b84f-a1c6-426a-8b5f-6208dc967b46","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""docNumber"":""JE-2026-0009""}","2026-04-01 20:55:00.078"
"172995dd-482e-46cf-9d7a-3f7d00c38dec","235280c2-f037-4249-8696-bc38738a190e","journal","83fc2039-f3c6-4c40-ae7e-698dc7fd6189","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""docNumber"":""JE-2026-0006""}","2026-03-31 22:23:33.642"
"1b5495c8-8981-4c6f-8716-f6b6b3acefc6","235280c2-f037-4249-8696-bc38738a190e","JournalEntry","83fc2039-f3c6-4c40-ae7e-698dc7fd6189","STATUS_REACHED_APPROVED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""newStatus"":""APPROVED"",""oldStatus"":""VERIFIED"",""entityNumber"":""JE-2026-0006""}","2026-04-01 18:13:27.606"
"1bca8e0b-8afd-4210-a1bc-2418df038c2f","235280c2-f037-4249-8696-bc38738a190e","JournalEntry","ed55b84f-a1c6-426a-8b5f-6208dc967b46","STATUS_REACHED_VERIFIED","3de00e61-540e-46b8-afac-9c389a516e8f",,,"{""newStatus"":""VERIFIED"",""oldStatus"":""PENDING_VERIFICATION"",""entityNumber"":""JE-2026-0009""}","2026-04-06 06:20:03.835"
"1f23adad-2936-4e46-b416-0da9cfd59d90","235280c2-f037-4249-8696-bc38738a190e","JournalEntry","a8da2707-a978-4175-b406-84b2c3ac7eb9","STATUS_REACHED_APPROVED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""newStatus"":""APPROVED"",""oldStatus"":""VERIFIED"",""entityNumber"":""JE-2026-0014""}","2026-04-01 23:39:28.149"
"21cc179d-6b26-45d5-b579-78a6377824f7","235280c2-f037-4249-8696-bc38738a190e","JournalEntry","1469d2a1-ab96-44b3-9099-fb9769c9d0fb","STATUS_REACHED_APPROVED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""newStatus"":""APPROVED"",""oldStatus"":""VERIFIED"",""entityNumber"":""JE-2026-0002""}","2026-03-31 21:15:09.785"
"22a7f558-d8b7-4eb9-8dc1-ae5816999ea0","235280c2-f037-4249-8696-bc38738a190e","product","ca8c6f27-a2a3-4d74-bfeb-a9b9bf0b2335","UPDATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""name"":""Label Tag"",""docNumber"":""PRD-2026-0007""}","2026-04-02 08:38:14.592"
"23140908-00c8-4c43-98e2-19fd11c53155","235280c2-f037-4249-8696-bc38738a190e","product","ca8c6f27-a2a3-4d74-bfeb-a9b9bf0b2335","CREATED","e88ca230-8eba-4fcb-89ae-111af8ce4955",,,"{""name"":""Label Tag"",""docNumber"":""PRD-2026-0007""}","2026-04-02 07:51:58.959"
"233373cd-484f-48cc-b445-6f96c68e0607","235280c2-f037-4249-8696-bc38738a190e","payment","273829c2-e8b0-484e-b649-f54bbffc04f2","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""docNumber"":""PAY-1775458658222""}","2026-04-06 06:57:38.321"
"24e54374-4939-4ece-906a-b736b641b57f","235280c2-f037-4249-8696-bc38738a190e","vendor","c4efe374-aafa-4588-9f0f-f6460cd56aec","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""name"":""ABC Corp."",""docNumber"":""VEN-2026-0003""}","2026-04-02 08:08:52.738"
"2be4f621-1e3d-4d52-bdf8-72f3d2143f70","235280c2-f037-4249-8696-bc38738a190e","payment","622ff3a8-6bf0-4632-89c8-83d262d0f594","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""docNumber"":""PAY-1775458469559""}","2026-04-06 06:54:29.628"
"2dd59879-2d1e-4b07-8207-d3553acefd19","235280c2-f037-4249-8696-bc38738a190e","invoice","ccd244a2-354f-454b-aac6-43b2d13c0b51","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""type"":""PURCHASE"",""docNumber"":""INV-2026-0005""}","2026-04-01 17:26:22.114"
"2f4419b6-1b8a-4bc1-b1e9-cb42ed06f0e0","4da93909-c2a6-43d8-9eed-8f9dffc01db2","journal","56aaf7cf-55c1-4c2a-9bbb-ad0388cdb66a","CREATED","3de00e61-540e-46b8-afac-9c389a516e8f",,,"{""docNumber"":""JE-2026-0007""}","2026-04-05 16:41:13.654"
"31bc1441-adc1-425e-acc7-220ae2b5b75f","235280c2-f037-4249-8696-bc38738a190e","customer","2bbf7a48-49b9-4441-a502-c5ef932a6067","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""name"":""Brainy Flavors"",""docNumber"":""CUS-2026-0003""}","2026-04-02 08:10:05.184"
"32a1be29-8719-480c-8c11-9cfd4df6a7c1","235280c2-f037-4249-8696-bc38738a190e","invoice","cd6980a5-f6c7-40a7-a8ef-740bff8dc3e2","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""type"":""PURCHASE"",""docNumber"":""INV-2026-0003""}","2026-04-01 17:24:37.651"
"3740a285-cf79-4002-9464-3d3265744631","235280c2-f037-4249-8696-bc38738a190e","pi","a7a9949b-2dc1-4a75-af41-80befc524fbf","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""docNumber"":""PI123456""}","2026-04-02 04:08:43.405"
"38c93ddc-c9bc-4b4e-a3fc-2abf8c7297a0","235280c2-f037-4249-8696-bc38738a190e","product","ae9a7733-d6ae-4d59-9ffe-aa58938cdfd0","CREATED","e88ca230-8eba-4fcb-89ae-111af8ce4955",,,"{""name"":""Zipper"",""docNumber"":""PRD-2026-0006""}","2026-04-02 07:51:26.254"
"39239e39-e9cd-4cf6-bbfc-fdc37547ec88","235280c2-f037-4249-8696-bc38738a190e","journal","3c9b3ffb-7317-4e62-939c-e48569d3cd99","CREATED","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"{""docNumber"":""JE-2026-0001""}","2026-03-31 21:02:03.484"
